ReportingYear,StationLocalId,SamplingPointLocalId,Pollutant,AQValue,Unit,SamplingPoint_Latitude,SamplingPoint_Longitude,AggregationType,Namespace,BeginPosition,EndPosition
2014,STA-NL00437,SPO-NL00437_00008_101,Nitrogen dioxide (air),93.91,ug.m-3,51.787498469478415,4.4508414300000005,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00247,SPO-NL00247_00008_100,Nitrogen dioxide (air),92.99,ug.m-3,51.407501219476785,5.3933334400000001,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00007,SPO-NL00007_00008_101,Nitrogen dioxide (air),195,ug.m-3,52.381111149481171,4.8450112300000008,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00639,SPO-NL00639_00008_101,Nitrogen dioxide (air),168.82,ug.m-3,52.06888899947969,5.1211140000000013,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00818,SPO-NL00818_00008_100,Nitrogen dioxide (air),60.29,ug.m-3,52.655002589482493,6.0180697400000014,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00938,SPO-NL00938_00008_100,Nitrogen dioxide (air),67.61,ug.m-3,53.246944429485559,6.6088972100000003,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00019,SPO-NL00019_00008_101,Nitrogen dioxide (air),137,ug.m-3,52.373054499481128,4.9050030700000002,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00489,SPO-NL00489_00008_100,Nitrogen dioxide (air),171.9,ug.m-3,51.868888849478772,4.5747222900000004,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2015,STA-NL00547,SPO-NL00547_00008_100,Nitrogen dioxide (air),105.04,ug.m-3,52.235079999480455,5.1815519999999999,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00237,SPO-NL00237_00008_101,Nitrogen dioxide (air),146.6,ug.m-3,51.445279999476931,5.4288999999999996,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00444,SPO-NL00444_00008_100,Nitrogen dioxide (air),95.25,ug.m-3,52.298053739480757,4.5102863299999996,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00442,SPO-NL00442_00008_100,Nitrogen dioxide (air),167.35,ug.m-3,51.800659179478473,4.7082138100000002,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00644,SPO-NL00644_00008_100,Nitrogen dioxide (air),77.34,ug.m-3,51.974639999479258,4.9234299999999989,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00318,SPO-NL00318_00008_111,Nitrogen dioxide (air),101.04,ug.m-3,51.295276639476306,3.7494583100000005,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00918,SPO-NL00918_00008_101,Nitrogen dioxide (air),68.86,ug.m-3,52.916915889483825,5.5734915699999998,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00433,SPO-NL00433_00008_111,Nitrogen dioxide (air),122.27,ug.m-3,51.911392209478961,4.32695293,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00021,SPO-NL00021_00008_101,Nitrogen dioxide (air),94.3,ug.m-3,52.321388239480868,4.9888944600000009,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00551,SPO-NL00551_00008_100,Nitrogen dioxide (air),138.3,ug.m-3,52.463019999481546,4.6019220000000001,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00003,SPO-NL00003_00008_101,Nitrogen dioxide (air),92.4,ug.m-3,52.3888893094812,4.94389725,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00022,SPO-NL00022_00008_101,Nitrogen dioxide (air),416.3,ug.m-3,52.37888717948114,4.7936196299999994,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00561,SPO-NL00561_00008_100,Nitrogen dioxide (air),128,ug.m-3,52.333560999480937,4.7735890000000012,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00007,SPO-NL00007_00008_101,Nitrogen dioxide (air),159.4,ug.m-3,52.381111149481171,4.8450112300000008,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00236,SPO-NL00236_00008_101,Nitrogen dioxide (air),113.25,ug.m-3,51.469722749477043,5.4727835699999989,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00807,SPO-NL00807_00008_101,Nitrogen dioxide (air),61.43,ug.m-3,52.389167789481192,6.4036140399999999,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00938,SPO-NL00938_00008_100,Nitrogen dioxide (air),65.91,ug.m-3,53.246944429485559,6.6088972100000003,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00418,SPO-NL00418_00008_111,Nitrogen dioxide (air),144.5,ug.m-3,51.915000919478985,4.4802889800000001,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00241,SPO-NL00241_00008_100,Nitrogen dioxide (air),105.63,ug.m-3,51.603332519477618,4.7808470699999992,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00107,SPO-NL00107_00008_101,Nitrogen dioxide (air),84.91,ug.m-3,51.120277399475597,6.0430636400000006,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00437,SPO-NL00437_00008_101,Nitrogen dioxide (air),86.91,ug.m-3,51.787498469478415,4.4508414300000005,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00012,SPO-NL00012_00008_101,Nitrogen dioxide (air),160.7,ug.m-3,52.390003199481221,4.8880581900000006,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00493,SPO-NL00493_00008_100,Nitrogen dioxide (air),213.8,ug.m-3,51.926943999479029,4.4616670000000012,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00487,SPO-NL00487_00008_100,Nitrogen dioxide (air),417.4,ug.m-3,51.891113279478887,4.48111105,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00565,SPO-NL00565_00008_100,Nitrogen dioxide (air),158.8,ug.m-3,52.327449999480905,4.715072000000001,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00019,SPO-NL00019_00008_101,Nitrogen dioxide (air),125.1,ug.m-3,52.373054499481128,4.9050030700000002,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00017,SPO-NL00017_00008_101,Nitrogen dioxide (air),131.4,ug.m-3,52.358055109481057,4.9000000999999989,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00704,SPO-NL00704_00008_100,Nitrogen dioxide (air),110.4,ug.m-3,52.430000309481379,4.7699999800000015,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00486,SPO-NL00486_00008_100,Nitrogen dioxide (air),604.2,ug.m-3,51.888055999478865,4.3888889999999998,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00020,SPO-NL00020_00008_101,Nitrogen dioxide (air),159.4,ug.m-3,52.375831599481117,4.8608417499999996,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2013,STA-NL00442,SPO-NL00442_00008_100,Nitrogen dioxide (air),127.87,ug.m-3,51.800659179478473,4.7082138100000002,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00938,SPO-NL00938_00008_100,Nitrogen dioxide (air),69.05,ug.m-3,53.246944429485559,6.6088972100000003,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00131,SPO-NL00131_00008_111,Nitrogen dioxide (air),89.4,ug.m-3,51.541110989477339,5.8536138500000012,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00703,SPO-NL00703_00008_100,Nitrogen dioxide (air),115,ug.m-3,52.400001529481244,4.7300000200000012,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00241,SPO-NL00241_00008_100,Nitrogen dioxide (air),100.84,ug.m-3,51.603332519477618,4.7808470699999992,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00807,SPO-NL00807_00008_101,Nitrogen dioxide (air),121.84,ug.m-3,52.389167789481192,6.4036140399999999,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00020,SPO-NL00020_00008_101,Nitrogen dioxide (air),185,ug.m-3,52.375831599481117,4.8608417499999996,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00019,SPO-NL00019_00008_101,Nitrogen dioxide (air),123,ug.m-3,52.373054499481128,4.9050030700000002,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00564,SPO-NL00564_00008_100,Nitrogen dioxide (air),130,ug.m-3,52.287427999480727,4.7666780000000006,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00538,SPO-NL00538_00008_111,Nitrogen dioxide (air),187.05,ug.m-3,52.804721829483249,5.0508418099999997,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00487,SPO-NL00487_00008_100,Nitrogen dioxide (air),189.1,ug.m-3,51.891113279478887,4.48111105,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00549,SPO-NL00549_00008_100,Nitrogen dioxide (air),77.94,ug.m-3,52.257359999480563,5.2359030000000004,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00929,SPO-NL00929_00008_100,Nitrogen dioxide (air),63.43,ug.m-3,52.876663209483603,6.9333334000000022,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00445,SPO-NL00445_00008_100,Nitrogen dioxide (air),160.94,ug.m-3,52.074999999479715,4.3161250000000004,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00137,SPO-NL00137_00008_100,Nitrogen dioxide (air),93.04,ug.m-3,50.884999999474672,5.976953,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00633,SPO-NL00633_00008_101,Nitrogen dioxide (air),72.28,ug.m-3,52.138888999480002,4.8383359999999991,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00301,SPO-NL00301_00008_101,Nitrogen dioxide (air),96.63,ug.m-3,51.635559079477744,3.9169473600000013,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2016,STA-NL00644,SPO-NL00644_00008_100,Nitrogen dioxide (air),76.81,ug.m-3,51.974639999479258,4.9234299999999989,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00742,SPO-NL00742_00008_100,Nitrogen dioxide (air),94.84,ug.m-3,51.838888999478641,5.8580609999999993,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00240,SPO-NL00240_00008_100,Nitrogen dioxide (air),195.4,ug.m-3,51.59360885947757,4.8250083899999998,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00918,SPO-NL00918_00008_101,Nitrogen dioxide (air),69.56,ug.m-3,52.916915889483825,5.5734915699999998,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00433,SPO-NL00433_00008_111,Nitrogen dioxide (air),177.61,ug.m-3,51.911392209478961,4.32695293,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00236,SPO-NL00236_00008_101,Nitrogen dioxide (air),99.53,ug.m-3,51.469722749477043,5.4727835699999989,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00437,SPO-NL00437_00008_101,Nitrogen dioxide (air),89.82999999,ug.m-3,51.787498469478415,4.4508414300000005,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00641,SPO-NL00641_00008_100,Nitrogen dioxide (air),124.59,ug.m-3,52.203055999480299,4.9886140000000001,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00807,SPO-NL00807_00008_101,Nitrogen dioxide (air),63.46,ug.m-3,52.389167789481192,6.4036140399999999,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00495,SPO-NL00495_00008_100,Nitrogen dioxide (air),121.5,ug.m-3,51.931945799479067,4.2277779600000001,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00496,SPO-NL00496_00008_100,Nitrogen dioxide (air),183.69999999,ug.m-3,51.978055999479267,4.1213889999999989,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00636,SPO-NL00636_00008_111,Nitrogen dioxide (air),110.12,ug.m-3,52.10611099947986,5.125286,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00237,SPO-NL00237_00008_101,Nitrogen dioxide (air),123.79,ug.m-3,51.445279999476931,5.4288999999999996,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00017,SPO-NL00017_00008_101,Nitrogen dioxide (air),154.8,ug.m-3,52.358055109481057,4.9000000999999989,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2014,STA-NL00003,SPO-NL00003_00008_101,Nitrogen dioxide (air),85,ug.m-3,52.3888893094812,4.94389725,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00537,SPO-NL00537_00008_101,Nitrogen dioxide (air),133.34,ug.m-3,52.381666999481162,4.6480689999999996,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00318,SPO-NL00318_00008_111,Nitrogen dioxide (air),96.53,ug.m-3,51.295276639476306,3.7494583100000005,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00235,SPO-NL00235_00008_101,Nitrogen dioxide (air),88.21,ug.m-3,51.435001369476886,4.3602862399999998,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00491,SPO-NL00491_00008_100,Nitrogen dioxide (air),146.7,ug.m-3,51.93805599947909,4.4311109999999996,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00703,SPO-NL00703_00008_100,Nitrogen dioxide (air),106,ug.m-3,52.400001529481244,4.7300000200000012,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00138,SPO-NL00138_00008_100,Nitrogen dioxide (air),81.72,ug.m-3,50.900316999474725,5.986853,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00551,SPO-NL00551_00008_100,Nitrogen dioxide (air),109,ug.m-3,52.463019999481546,4.6019220000000001,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00107,SPO-NL00107_00008_101,Nitrogen dioxide (air),92.07,ug.m-3,51.120277399475597,6.0430636400000006,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00631,SPO-NL00631_00008_111,Nitrogen dioxide (air),64.04,ug.m-3,52.448501589481481,5.6191501600000002,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00017,SPO-NL00017_00008_101,Nitrogen dioxide (air),139,ug.m-3,52.358055109481057,4.9000000999999989,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00133,SPO-NL00133_00008_101,Nitrogen dioxide (air),64.72,ug.m-3,50.903057099474744,5.8822359999999998,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00561,SPO-NL00561_00008_100,Nitrogen dioxide (air),133,ug.m-3,52.333560999480937,4.7735890000000012,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00445,SPO-NL00445_00008_100,Nitrogen dioxide (air),178.71,ug.m-3,52.074999999479715,4.3161250000000004,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00021,SPO-NL00021_00008_101,Nitrogen dioxide (air),108,ug.m-3,52.321388239480868,4.9888944600000009,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2015,STA-NL00136,SPO-NL00136_00038_100,Nitrogen monoxide (air),580.1,ug.m-3,50.888057709474673,5.9711141599999999,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00934,SPO-NL00934_00038_111,Nitrogen monoxide (air),54.64,ug.m-3,53.331665039486005,6.27750874,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00241,SPO-NL00241_00038_100,Nitrogen monoxide (air),196.51,ug.m-3,51.603332519477618,4.7808470699999992,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00551,SPO-NL00551_00038_100,Nitrogen monoxide (air),183.8,ug.m-3,52.463019999481546,4.6019220000000001,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00704,SPO-NL00704_00038_100,Nitrogen monoxide (air),214,ug.m-3,52.430000309481379,4.7699999800000015,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00742,SPO-NL00742_00038_100,Nitrogen monoxide (air),179.58,ug.m-3,51.838888999478641,5.8580609999999993,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00485,SPO-NL00485_00038_100,Nitrogen monoxide (air),591.6,ug.m-3,51.866107939478766,4.3552775400000003,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00301,SPO-NL00301_00038_101,Nitrogen monoxide (air),93.69,ug.m-3,51.635559079477744,3.9169473600000013,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00445,SPO-NL00445_00038_100,Nitrogen monoxide (air),224.92,ug.m-3,52.074999999479715,4.3161250000000004,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00495,SPO-NL00495_00038_100,Nitrogen monoxide (air),299.8,ug.m-3,51.931945799479067,4.2277779600000001,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00807,SPO-NL00807_00038_101,Nitrogen monoxide (air),60.46,ug.m-3,52.389167789481192,6.4036140399999999,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2013,STA-NL00014,SPO-NL00014_00038_100,Nitrogen monoxide (air),220,ug.m-3,52.359996799481046,4.8088974999999996,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00934,SPO-NL00934_00038_111,Nitrogen monoxide (air),60.62,ug.m-3,53.331665039486005,6.27750874,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00021,SPO-NL00021_00038_101,Nitrogen monoxide (air),219,ug.m-3,52.321388239480868,4.9888944600000009,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00489,SPO-NL00489_00038_100,Nitrogen monoxide (air),483.6,ug.m-3,51.868888849478772,4.5747222900000004,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00639,SPO-NL00639_00038_101,Nitrogen monoxide (air),585.7,ug.m-3,52.06888899947969,5.1211140000000013,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00445,SPO-NL00445_00038_100,Nitrogen monoxide (air),290.36,ug.m-3,52.074999999479715,4.3161250000000004,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00107,SPO-NL00107_00038_101,Nitrogen monoxide (air),146.47,ug.m-3,51.120277399475597,6.0430636400000006,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00237,SPO-NL00237_00038_101,Nitrogen monoxide (air),448.33,ug.m-3,51.445279999476931,5.4288999999999996,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00444,SPO-NL00444_00038_100,Nitrogen monoxide (air),151,ug.m-3,52.298053739480757,4.5102863299999996,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00564,SPO-NL00564_00038_100,Nitrogen monoxide (air),306,ug.m-3,52.287427999480727,4.7666780000000006,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00318,SPO-NL00318_00038_111,Nitrogen monoxide (air),179.61,ug.m-3,51.295276639476306,3.7494583100000005,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00230,SPO-NL00230_00038_101,Nitrogen monoxide (air),161.24,ug.m-3,51.519443509477249,5.1489024199999998,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00007,SPO-NL00007_00038_101,Nitrogen monoxide (air),552,ug.m-3,52.381111149481171,4.8450112300000008,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00437,SPO-NL00437_00038_101,Nitrogen monoxide (air),279.34,ug.m-3,51.787498469478415,4.4508414300000005,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00704,SPO-NL00704_00038_100,Nitrogen monoxide (air),298,ug.m-3,52.430000309481379,4.7699999800000015,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00247,SPO-NL00247_00038_100,Nitrogen monoxide (air),267.09,ug.m-3,51.407501219476785,5.3933334400000001,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00022,SPO-NL00022_00038_101,Nitrogen monoxide (air),291,ug.m-3,52.37888717948114,4.7936196299999994,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00002,SPO-NL00002_00038_101,Nitrogen monoxide (air),647,ug.m-3,52.38500213948118,4.8761196099999982,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2016,STA-NL00701,SPO-NL00701_00038_100,Nitrogen monoxide (air),506.69999999,ug.m-3,52.45000075948149,4.8166665999999996,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00633,SPO-NL00633_00038_101,Nitrogen monoxide (air),190.81,ug.m-3,52.138888999480002,4.8383359999999991,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00495,SPO-NL00495_00038_100,Nitrogen monoxide (air),449.3,ug.m-3,51.931945799479067,4.2277779600000001,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00021,SPO-NL00021_00038_101,Nitrogen monoxide (air),226.8,ug.m-3,52.321388239480868,4.9888944600000009,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00003,SPO-NL00003_00038_101,Nitrogen monoxide (air),249.19999999,ug.m-3,52.3888893094812,4.94389725,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00561,SPO-NL00561_00038_100,Nitrogen monoxide (air),339.1,ug.m-3,52.333560999480937,4.7735890000000012,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00138,SPO-NL00138_00038_100,Nitrogen monoxide (air),253.56999999,ug.m-3,50.900316999474725,5.986853,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00002,SPO-NL00002_00038_101,Nitrogen monoxide (air),794.5,ug.m-3,52.38500213948118,4.8761196099999982,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00494,SPO-NL00494_00038_100,Nitrogen monoxide (air),473.3,ug.m-3,51.921110999479019,4.401389,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00012,SPO-NL00012_00038_101,Nitrogen monoxide (air),406.1,ug.m-3,52.390003199481221,4.8880581900000006,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00738,SPO-NL00738_00038_100,Nitrogen monoxide (air),141.55,ug.m-3,52.112499239479874,5.7086191199999998,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00433,SPO-NL00433_00038_111,Nitrogen monoxide (air),798.25999999,ug.m-3,51.911392209478961,4.32695293,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00639,SPO-NL00639_00038_101,Nitrogen monoxide (air),633.22,ug.m-3,52.06888899947969,5.1211140000000013,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00235,SPO-NL00235_00038_101,Nitrogen monoxide (air),138,ug.m-3,51.435001369476886,4.3602862399999998,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00644,SPO-NL00644_00038_100,Nitrogen monoxide (air),192.12,ug.m-3,51.974639999479258,4.9234299999999989,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00230,SPO-NL00230_00038_101,Nitrogen monoxide (air),142.43,ug.m-3,51.519443509477249,5.1489024199999998,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00818,SPO-NL00818_00038_100,Nitrogen monoxide (air),104.72,ug.m-3,52.655002589482493,6.0180697400000014,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2014,STA-NL00021,SPO-NL00021_00038_101,Nitrogen monoxide (air),255,ug.m-3,52.321388239480868,4.9888944600000009,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00002,SPO-NL00002_00038_101,Nitrogen monoxide (air),732,ug.m-3,52.38500213948118,4.8761196099999982,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00007,SPO-NL00007_00038_101,Nitrogen monoxide (air),855,ug.m-3,52.381111149481171,4.8450112300000008,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00703,SPO-NL00703_00038_100,Nitrogen monoxide (air),193,ug.m-3,52.400001529481244,4.7300000200000012,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00564,SPO-NL00564_00038_100,Nitrogen monoxide (air),198,ug.m-3,52.287427999480727,4.7666780000000006,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00938,SPO-NL00938_00038_100,Nitrogen monoxide (air),105.8,ug.m-3,53.246944429485559,6.6088972100000003,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00639,SPO-NL00639_00038_101,Nitrogen monoxide (air),492.15,ug.m-3,52.06888899947969,5.1211140000000013,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00934,SPO-NL00934_00038_111,Nitrogen monoxide (air),49.64,ug.m-3,53.331665039486005,6.27750874,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00448,SPO-NL00448_00038_100,Nitrogen monoxide (air),756.89,ug.m-3,51.92694472947904,4.4616775500000001,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00807,SPO-NL00807_00038_101,Nitrogen monoxide (air),226.1,ug.m-3,52.389167789481192,6.4036140399999999,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00138,SPO-NL00138_00038_100,Nitrogen monoxide (air),153.76,ug.m-3,50.900316999474725,5.986853,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
