Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
5/2/15,Place in Singapore,2015-05-02T20:58:16+08:00,2015-05-02T22:44:46+08:00,6390,1.2919944702,103.8379478163,,
5/2/15,Place in Singapore River,2015-05-02T22:56:01+08:00,2015-05-02T23:22:36+08:00,1595,1.289632805,103.8393238505,,
5/2/15,Place in Singapore,2015-05-02T23:56:40+08:00,2015-05-03T00:00:00+08:00,200,1.3060551622,103.8661192516,,
5/3/15,Place in Singapore,2015-05-03T00:00:00+08:00,2015-05-03T04:38:31+08:00,16711,1.3060551622,103.8661192516,,
5/3/15,Place in Singapore,2015-05-03T04:51:33+08:00,2015-05-04T00:00:00+08:00,68907,1.314788985,103.840435244,,
5/4/15,Place in Singapore,2015-05-04T00:00:00+08:00,2015-05-04T08:47:36+08:00,31656,1.314788985,103.840435244,,
5/4/15,Place in Capital Tower,2015-05-04T09:20:10+08:00,2015-05-04T12:34:07+08:00,11637,1.2774381844,103.8477753659,,
5/4/15,Place in Singapore,2015-05-04T13:04:12+08:00,2015-05-04T19:35:29+08:00,23477,1.314788985,103.840435244,,
5/4/15,Place in Singapore,2015-05-04T19:45:35+08:00,2015-05-04T21:24:07+08:00,5912,1.3192049018,103.8435911693,,
5/4/15,Place in Singapore,2015-05-04T21:35:14+08:00,2015-05-05T00:00:00+08:00,8686,1.314788985,103.840435244,,
5/5/15,Place in Singapore,2015-05-05T00:00:00+08:00,2015-05-05T08:58:17+08:00,32297,1.314788985,103.840435244,,
5/5/15,Place in Capital Tower,2015-05-05T09:30:58+08:00,2015-05-05T16:56:35+08:00,26737,1.2774381844,103.8477753659,,
5/5/15,Place in Singapore,2015-05-05T17:20:46+08:00,2015-05-05T18:27:12+08:00,3986,1.3032010889,103.8546948138,,
5/5/15,Place in Singapore,2015-05-05T18:41:28+08:00,2015-05-05T19:26:21+08:00,2693,1.3001763485,103.8557194894,,
5/5/15,Place in Singapore,2015-05-05T19:39:46+08:00,2015-05-05T21:04:00+08:00,5054,1.3150976538,103.8394805576,,
5/5/15,Place in Singapore,2015-05-05T21:05:50+08:00,2015-05-05T22:12:30+08:00,4000,1.314788985,103.840435244,,
5/5/15,Place in Singapore,2015-05-05T22:13:37+08:00,2015-05-06T00:00:00+08:00,6383,1.314788985,103.840435244,,
5/6/15,Place in Singapore,2015-05-06T00:00:00+08:00,2015-05-06T09:42:43+08:00,34963,1.314788985,103.840435244,,
5/6/15,Place in Capital Tower,2015-05-06T10:17:40+08:00,2015-05-06T16:18:07+08:00,21627,1.2774381844,103.8477753659,,
5/6/15,Place in Bras Basah Complex,2015-05-06T16:30:43+08:00,2015-05-06T17:00:00+08:00,1757,1.2965942226,103.8537137995,,
5/6/15,Place in Singapore,2015-05-06T17:02:39+08:00,2015-05-06T17:09:08+08:00,389,1.2985773485,103.8539269748,,
5/6/15,Place in Singapore,2015-05-06T17:18:59+08:00,2015-05-06T18:29:06+08:00,4207,1.3032010889,103.8546948138,,
5/6/15,Place in Singapore,2015-05-06T18:36:09+08:00,2015-05-06T19:09:06+08:00,1977,1.3005991754,103.8556128107,,
5/6/15,Place in Singapore,2015-05-06T19:31:11+08:00,2015-05-06T20:13:25+08:00,2534,1.314788985,103.840435244,,
5/6/15,Place in Singapore,2015-05-06T20:55:30+08:00,2015-05-07T00:00:00+08:00,11070,1.314788985,103.840435244,,
5/7/15,Place in Singapore,2015-05-07T00:00:00+08:00,2015-05-07T08:51:18+08:00,31878,1.314788985,103.840435244,,
5/7/15,Place in Capital Tower,2015-05-07T09:24:52+08:00,2015-05-07T13:28:04+08:00,14592,1.2774381844,103.8477753659,,
5/7/15,Place in Eunos Techpark,2015-05-07T13:52:08+08:00,2015-05-07T14:28:10+08:00,2162,1.3342736335,103.9028015031,,
5/7/15,Place in Singapore,2015-05-07T14:31:19+08:00,2015-05-07T14:34:43+08:00,204,1.3362668775,103.9047876908,,
5/7/15,Place in Capital Tower,2015-05-07T15:01:10+08:00,2015-05-07T19:55:48+08:00,17678,1.2774381844,103.8477753659,,
5/7/15,Place in Singapore,2015-05-07T20:07:23+08:00,2015-05-07T21:56:53+08:00,6570,1.3022437591,103.8405231895,,
5/7/15,Place in Singapore,2015-05-07T22:28:27+08:00,2015-05-08T00:00:00+08:00,5493,1.3071726201,103.8290142751,,
5/8/15,Place in Singapore,2015-05-08T00:00:00+08:00,2015-05-08T06:02:10+08:00,21730,1.3071726201,103.8290142751,,
5/8/15,Place in Singapore,2015-05-08T06:21:28+08:00,2015-05-08T11:04:49+08:00,17001,1.314788985,103.840435244,,
5/8/15,Place in Singapore,2015-05-08T11:06:06+08:00,2015-05-08T12:02:32+08:00,3386,1.314788985,103.840435244,,
5/8/15,Place in Singapore,2015-05-08T12:02:32+08:00,2015-05-08T13:38:07+08:00,5735,1.3149527418,103.8407226267,,
5/8/15,Place in Capital Tower,2015-05-08T14:09:35+08:00,2015-05-08T23:28:15+08:00,33520,1.2774381844,103.8477753659,,
5/8/15,Place in Singapore,2015-05-08T23:43:22+08:00,2015-05-09T00:00:00+08:00,998,1.3120712272,103.8395127082,,
5/9/15,Place in Singapore,2015-05-09T00:00:00+08:00,2015-05-09T00:29:08+08:00,1748,1.3120712272,103.8395127082,,
5/9/15,Place in Singapore,2015-05-09T00:34:47+08:00,2015-05-09T15:41:50+08:00,54423,1.3150976538,103.8394805576,,
5/9/15,Place in Singapore,2015-05-09T15:44:53+08:00,2015-05-10T00:00:00+08:00,29707,1.3150976538,103.8394805576,,
5/10/15,Place in Singapore,2015-05-10T00:00:00+08:00,2015-05-10T13:28:46+08:00,48526,1.3150976538,103.8394805576,,
5/10/15,Place in Singapore,2015-05-10T14:34:39+08:00,2015-05-10T14:36:04+08:00,85,1.3368845146,103.8367215284,,
5/10/15,Place in Singapore,2015-05-10T14:47:40+08:00,2015-05-10T14:55:37+08:00,477,1.3375788028,103.8367471699,,
5/10/15,Place in Singapore,2015-05-10T15:01:41+08:00,2015-05-10T15:36:34+08:00,2093,1.3365996587,103.8367148325,,
5/10/15,Place in Singapore,2015-05-10T15:49:46+08:00,2015-05-11T00:00:00+08:00,29414,1.3150976538,103.8394805576,,
5/11/15,Place in Singapore,2015-05-11T00:00:00+08:00,2015-05-11T08:59:26+08:00,32366,1.3150976538,103.8394805576,,
5/11/15,Place in Capital Tower,2015-05-11T09:32:37+08:00,2015-05-11T12:41:59+08:00,11362,1.2774381844,103.8477753659,,
5/11/15,Place in Sim Lim Tower,2015-05-11T13:00:32+08:00,2015-05-11T13:38:20+08:00,2268,1.3037237033,103.8546775887,,
5/11/15,Place in Kelantan Court,2015-05-11T13:46:34+08:00,2015-05-11T13:52:21+08:00,347,1.3057520379,103.8566388592,,
5/11/15,Place in Singapore,2015-05-11T13:55:00+08:00,2015-05-11T14:23:13+08:00,1693,1.3074731303,103.858061839,,
5/11/15,Place in Capital Tower,2015-05-11T14:40:43+08:00,2015-05-11T18:20:45+08:00,13202,1.2774381844,103.8477753659,,
5/11/15,Place in Singapore,2015-05-11T18:54:52+08:00,2015-05-12T00:00:00+08:00,18308,1.3144030843,103.8404184591,,
5/12/15,Place in Singapore,2015-05-12T00:00:00+08:00,2015-05-12T00:06:18+08:00,378,1.3144030843,103.8404184591,,
5/12/15,Place in Singapore,2015-05-12T00:06:18+08:00,2015-05-12T09:10:01+08:00,32623,1.3144030843,103.8404184591,,
5/12/15,Place in Capital Tower,2015-05-12T09:39:09+08:00,2015-05-12T13:08:55+08:00,12586,1.2774381844,103.8477753659,,
5/12/15,Place in Singapore,2015-05-12T13:24:40+08:00,2015-05-12T14:13:03+08:00,2903,1.3115723433,103.8560727742,,
5/12/15,Place in Capital Tower,2015-05-12T14:42:36+08:00,2015-05-12T19:10:31+08:00,16075,1.2774381844,103.8477753659,,
5/12/15,Place in Singapore,2015-05-12T19:34:40+08:00,2015-05-12T19:55:38+08:00,1258,1.3104886264,103.8624293544,,
5/12/15,Place in Little India,2015-05-12T20:19:25+08:00,2015-05-12T20:21:10+08:00,105,1.3099435873,103.8552709543,,
5/12/15,Place in Singapore,2015-05-12T20:45:21+08:00,2015-05-13T00:00:00+08:00,11679,1.3144030843,103.8404184591,,
5/13/15,Place in Singapore,2015-05-13T00:00:00+08:00,2015-05-13T06:31:24+08:00,23484,1.3144030843,103.8404184591,,
5/13/15,Place in Singapore,2015-05-13T06:33:23+08:00,2015-05-13T07:25:44+08:00,3141,1.3144030843,103.8404184591,,
5/13/15,Place in Singapore,2015-05-13T07:25:44+08:00,2015-05-13T08:25:11+08:00,3567,1.3144030843,103.8404184591,,
5/13/15,Place in Capital Tower,2015-05-13T09:11:30+08:00,2015-05-13T12:58:09+08:00,13599,1.2774381844,103.8477753659,,
5/13/15,Place in Singapore,2015-05-13T12:58:10+08:00,2015-05-13T13:03:41+08:00,331,1.2788246824,103.8484488056,,
5/13/15,Place in Singapore,2015-05-13T13:10:19+08:00,2015-05-13T13:53:42+08:00,2603,1.2785697434,103.8512971934,,
5/13/15,Place in Capital Tower,2015-05-13T13:59:21+08:00,2015-05-13T20:14:45+08:00,22524,1.2774381844,103.8477753659,,
5/13/15,Place in Singapore,2015-05-13T20:50:44+08:00,2015-05-14T00:00:00+08:00,11356,1.3144030843,103.8404184591,,
5/14/15,Place in Singapore,2015-05-14T00:00:00+08:00,2015-05-14T08:51:34+08:00,31894,1.3144030843,103.8404184591,,
5/14/15,Place in Capital Tower,2015-05-14T09:18:49+08:00,2015-05-14T20:12:19+08:00,39210,1.2774381844,103.8477753659,,
5/14/15,Place in Great World City,2015-05-14T20:27:21+08:00,2015-05-14T23:35:40+08:00,11299,1.2936083414,103.8320277002,,
5/14/15,Place in Singapore,2015-05-14T23:42:07+08:00,2015-05-15T00:00:00+08:00,1073,1.2944170472,103.8323313514,,
5/15/15,Place in Singapore,2015-05-15T00:00:00+08:00,2015-05-15T00:21:42+08:00,1302,1.2944170472,103.8323313514,,
5/15/15,Place in Singapore,2015-05-15T00:25:32+08:00,2015-05-15T01:20:05+08:00,3273,1.2923168585,103.8416475182,,
5/15/15,Place in Singapore,2015-05-15T01:23:59+08:00,2015-05-15T02:46:20+08:00,4941,1.2913446385,103.8409458423,,
5/15/15,Place in Singapore,2015-05-15T02:52:05+08:00,2015-05-15T06:09:50+08:00,11865,1.3071726201,103.8290142751,,
5/15/15,Place in Singapore,2015-05-15T06:14:10+08:00,2015-05-15T13:46:12+08:00,27122,1.314788985,103.840435244,,
5/15/15,Place in Singapore,2015-05-15T14:17:28+08:00,2015-05-15T14:25:25+08:00,477,1.2784123682,103.8484831509,,
5/15/15,Place in Capital Tower,2015-05-15T14:25:25+08:00,2015-05-15T22:09:36+08:00,27851,1.2774381844,103.8477753659,,
5/15/15,Place in Singapore,2015-05-15T22:17:10+08:00,2015-05-15T23:30:50+08:00,4420,1.2789329025,103.8414934722,,
5/15/15,Place in Singapore,2015-05-15T23:40:44+08:00,2015-05-16T00:00:00+08:00,1156,1.281270209,103.8456180532,,
5/16/15,Place in Singapore,2015-05-16T00:00:00+08:00,2015-05-16T00:58:43+08:00,3523,1.281270209,103.8456180532,,
5/16/15,Place in Kampong Glam,2015-05-16T01:17:23+08:00,2015-05-16T01:27:13+08:00,590,1.3013315389,103.8585958995,,
5/16/15,Place in Singapore,2015-05-16T01:37:30+08:00,2015-05-16T04:59:26+08:00,12116,1.314788985,103.840435244,,
5/16/15,Place in Singapore,2015-05-16T04:59:26+08:00,2015-05-16T09:58:05+08:00,17919,1.314788985,103.840435244,,
5/16/15,Place in Singapore,2015-05-16T10:00:14+08:00,2015-05-17T00:00:00+08:00,50386,1.314788985,103.840435244,,
5/17/15,Place in Singapore,2015-05-17T00:00:00+08:00,2015-05-17T16:30:39+08:00,59439,1.314788985,103.840435244,,
5/17/15,Place in Giant,2015-05-17T17:23:01+08:00,2015-05-17T17:38:55+08:00,954,1.3723498804,103.931565836,,
5/17/15,Place in Singapore,2015-05-17T17:39:31+08:00,2015-05-17T19:01:24+08:00,4913,1.3729764365,103.9333282191,,
5/17/15,Place in Singapore,2015-05-17T19:05:42+08:00,2015-05-17T22:22:36+08:00,11814,1.3729764365,103.9333282191,,
5/17/15,Place in Singapore,2015-05-17T22:42:06+08:00,2015-05-18T00:00:00+08:00,4674,1.314788985,103.840435244,,
5/18/15,Place in Singapore,2015-05-18T00:00:00+08:00,2015-05-18T08:53:34+08:00,32014,1.314788985,103.840435244,,
5/18/15,Place in Capital Tower,2015-05-18T09:30:45+08:00,2015-05-18T19:15:01+08:00,35056,1.2774381844,103.8477753659,,
5/18/15,Place in Singapore,2015-05-18T19:38:32+08:00,2015-05-18T19:42:27+08:00,235,1.3126266306,103.8381401171,,
5/18/15,Place in Singapore,2015-05-18T19:50:06+08:00,2015-05-19T00:00:00+08:00,14994,1.3147485706,103.8400225581,,
5/19/15,Place in Singapore,2015-05-19T00:00:00+08:00,2015-05-19T09:08:12+08:00,32892,1.3147485706,103.8400225581,,
5/19/15,Place in Capital Tower,2015-05-19T09:48:39+08:00,2015-05-19T18:42:49+08:00,32050,1.2774381844,103.8477753659,,
5/19/15,Place in Singapore,2015-05-19T19:04:38+08:00,2015-05-19T20:30:04+08:00,5126,1.286216232,103.849935812,,
5/19/15,Place in Botanic Gardens,2015-05-19T20:54:43+08:00,2015-05-19T22:18:40+08:00,5037,1.3111229456,103.8150235403,,
5/19/15,Place in Singapore,2015-05-19T22:31:42+08:00,2015-05-20T00:00:00+08:00,5298,1.3147485706,103.8400225581,,
5/20/15,Place in Singapore,2015-05-20T00:00:00+08:00,2015-05-20T08:57:31+08:00,32251,1.3147485706,103.8400225581,,
5/20/15,Place in Capital Tower,2015-05-20T09:39:32+08:00,2015-05-20T13:17:06+08:00,13054,1.2774381844,103.8477753659,,
5/20/15,Place in 110,2015-05-20T13:49:46+08:00,2015-05-20T14:00:46+08:00,660,1.3230325253,103.8971561221,,
5/20/15,Place in Singapore,2015-05-20T14:13:48+08:00,2015-05-20T14:28:08+08:00,860,1.3184728391,103.8933266208,,
5/20/15,Place in Capital Tower,2015-05-20T14:50:27+08:00,2015-05-20T18:08:15+08:00,11868,1.2774381844,103.8477753659,,
5/20/15,Place in Singapore,2015-05-20T18:38:45+08:00,2015-05-21T00:00:00+08:00,19275,1.3147485706,103.8400225581,,
5/21/15,Place in Singapore,2015-05-21T00:00:00+08:00,2015-05-21T06:23:28+08:00,23008,1.3147485706,103.8400225581,,
5/21/15,Place in Singapore,2015-05-21T06:25:15+08:00,2015-05-21T07:11:02+08:00,2747,1.3147485706,103.8400225581,,
5/21/15,Place in Singapore,2015-05-21T07:11:02+08:00,2015-05-21T08:35:40+08:00,5078,1.3144030843,103.8404184591,,
5/21/15,Place in Capital Tower,2015-05-21T09:16:46+08:00,2015-05-21T18:49:47+08:00,34381,1.2774381844,103.8477753659,,
5/21/15,Place in Singapore,2015-05-21T18:52:43+08:00,2015-05-21T21:50:26+08:00,10663,1.2818065242,103.8477938262,,
5/21/15,Place in Singapore,2015-05-21T21:50:26+08:00,2015-05-21T22:00:16+08:00,590,1.2827038349,103.8473743979,,
5/21/15,Place in Singapore,2015-05-21T22:10:12+08:00,2015-05-21T23:05:14+08:00,3302,1.2882899311,103.805471272,,
5/21/15,Place in Singapore,2015-05-21T23:15:32+08:00,2015-05-21T23:16:17+08:00,45,1.314788985,103.840435244,,
5/21/15,Place in Singapore,2015-05-21T23:38:22+08:00,2015-05-22T00:00:00+08:00,1298,1.314788985,103.840435244,,
5/22/15,Place in Singapore,2015-05-22T00:00:00+08:00,2015-05-22T08:57:30+08:00,32250,1.314788985,103.840435244,,
5/22/15,Place in Capital Tower,2015-05-22T09:32:38+08:00,2015-05-22T13:25:39+08:00,13981,1.2774381844,103.8477753659,,
5/22/15,Place in Singapore,2015-05-22T13:33:18+08:00,2015-05-22T14:02:41+08:00,1763,1.2741475133,103.844357633,,
5/22/15,Place in Capital Tower,2015-05-22T14:14:35+08:00,2015-05-22T19:07:26+08:00,17571,1.2774381844,103.8477753659,,
5/22/15,Place in Singapore,2015-05-22T19:38:04+08:00,2015-05-22T19:55:14+08:00,1030,1.3009966916,103.8391157033,,
5/22/15,Place in The Heeren,2015-05-22T19:58:37+08:00,2015-05-22T20:14:14+08:00,937,1.3022500436,103.8374594246,,
5/22/15,Place in Paragon,2015-05-22T20:24:27+08:00,2015-05-22T20:47:15+08:00,1368,1.3034875564,103.8354565563,,
5/22/15,Place in Singapore,2015-05-22T20:54:03+08:00,2015-05-22T21:22:16+08:00,1693,1.3046234035,103.8316099816,,
5/22/15,Place in Singapore,2015-05-22T21:34:07+08:00,2015-05-22T22:34:43+08:00,3636,1.314788985,103.840435244,,
5/22/15,Place in Singapore,2015-05-22T23:37:14+08:00,2015-05-23T00:00:00+08:00,1366,1.314788985,103.840435244,,
5/23/15,Place in Singapore,2015-05-23T00:00:00+08:00,2015-05-23T17:19:20+08:00,62360,1.314788985,103.840435244,,
5/23/15,Place in Singapore,2015-05-23T17:24:20+08:00,2015-05-23T17:45:09+08:00,1249,1.314788985,103.840435244,,
5/23/15,Place in Tanjong Beach,2015-05-23T18:19:06+08:00,2015-05-24T00:00:00+08:00,20454,1.2430693753,103.8278623641,,
5/24/15,Place in Tanjong Beach,2015-05-24T00:00:00+08:00,2015-05-24T02:32:34+08:00,9154,1.2430693753,103.8278623641,,
5/24/15,Place in Singapore,2015-05-24T02:53:49+08:00,2015-05-24T09:30:26+08:00,23797,1.314788985,103.840435244,,
5/24/15,Place in Singapore,2015-05-24T11:01:42+08:00,2015-05-25T00:00:00+08:00,46698,1.314788985,103.840435244,,
5/25/15,Place in Singapore,2015-05-25T00:00:00+08:00,2015-05-25T08:56:24+08:00,32184,1.314788985,103.840435244,,
5/25/15,Place in Capital Tower,2015-05-25T09:30:24+08:00,2015-05-25T12:30:40+08:00,10816,1.2774381844,103.8477753659,,
5/25/15,Place in Singapore,2015-05-25T12:36:26+08:00,2015-05-25T13:21:12+08:00,2686,1.2767050149,103.8475950236,,
5/25/15,Place in Capital Tower,2015-05-25T13:25:54+08:00,2015-05-25T20:26:05+08:00,25211,1.2774381844,103.8477753659,,
5/25/15,Place in Singapore,2015-05-25T20:57:02+08:00,2015-05-25T21:28:01+08:00,1859,1.3168549693,103.8439888817,,
5/25/15,Place in Singapore,2015-05-25T21:41:37+08:00,2015-05-26T00:00:00+08:00,8303,1.3144030843,103.8404184591,,
5/26/15,Place in Singapore,2015-05-26T00:00:00+08:00,2015-05-26T08:55:22+08:00,32122,1.3144030843,103.8404184591,,
5/26/15,Place in Capital Tower,2015-05-26T09:32:15+08:00,2015-05-26T20:22:59+08:00,39044,1.2774381844,103.8477753659,,
5/26/15,Place in Singapore,2015-05-26T20:26:01+08:00,2015-05-26T20:34:41+08:00,520,1.2787900775,103.8477200679,,
5/26/15,Place in Singapore,2015-05-26T21:04:49+08:00,2015-05-26T23:27:11+08:00,8542,1.3150395691,103.8403070097,,
5/26/15,Place in Singapore,2015-05-26T23:27:11+08:00,2015-05-27T00:00:00+08:00,1969,1.3150395691,103.8403070097,,
5/27/15,Place in Singapore,2015-05-27T00:00:00+08:00,2015-05-27T09:08:30+08:00,32910,1.3150395691,103.8403070097,,
5/27/15,Place in Singapore,2015-05-27T09:47:56+08:00,2015-05-27T13:04:40+08:00,11804,1.2767050149,103.8475950236,,
5/27/15,Place in Singapore,2015-05-27T13:12:49+08:00,2015-05-27T13:49:48+08:00,2219,1.2873074347,103.8343351117,,
5/27/15,Place in Capital Tower,2015-05-27T13:59:27+08:00,2015-05-27T18:00:32+08:00,14465,1.2774381844,103.8477753659,,
5/27/15,Place in Singapore,2015-05-27T18:28:04+08:00,2015-05-27T19:58:47+08:00,5443,1.3145426357,103.8407193424,,
5/27/15,Place in Singapore,2015-05-27T20:45:19+08:00,2015-05-27T22:42:08+08:00,7009,1.2865188925,103.8490864821,,
5/27/15,Place in Singapore River,2015-05-27T22:49:24+08:00,2015-05-27T23:39:05+08:00,2981,1.2893210043,103.8490589518,,
5/27/15,Place in Singapore,2015-05-27T23:51:54+08:00,2015-05-28T00:00:00+08:00,486,1.2802607857,103.8486500755,,
5/28/15,Place in Singapore,2015-05-28T00:00:00+08:00,2015-05-28T00:16:30+08:00,990,1.2802607857,103.8486500755,,
