name,count
Huisman,14682
Huizing,2366
Huizinga,3816
Hulshof,3248
van der Hulst,2598
Hummel,2396
van den Hurk,3813
Hut,2282
van Iersel,2737
van Ingen,3331
Jacobs,20148
Jager,7449
de Jager,7554
van der Jagt,2089
Jans,3001
Janse,3788
Jansen,73533
Jansma,2182
Janssen,54040
Janssens,3832
Jaspers,3974
de Jong,83782
de Jonge,13989
Jongen,2383
de Jongh,5216
Jongsma,2669
Jonker,11480
Jonkers,4705
Jonkman,3615
Joosten,6829
Kamp,4276
van de Kamp,3569
van der Kamp,2136
van Kampen,4348
Kamphuis,6140
Kamps,2208
Kanters,2926
Kaya,3109
Keijzer,5218
de Keijzer,2371
Keizer,5490
Kelder,1974
van Kempen,4614
Kemper,2480
Kerkhof,3748
van de Kerkhof,2300
Kersten,6482
van Kessel,4687
Kessels,2727
van Kesteren,2484
van Keulen,4053
Kingma,2515
Klaassen,7470
Klaver,4741
van Klaveren,2454
van Kleef,2989
Kleijn,2633
Klein,7932
de Klerk,3678
Klijn,2982
Klok,3680
Klomp,5243
Kloosterman,3691
Klop,2384
van der Knaap,2399
Knol,5906
Knoop,1961
Koch,2416
Koelewijn,3799
Koenders,2529
Koenen,2773
Koers,2146
Koetsier,1953
Kok,20325
de Kok,4934
van der Kolk,4102
Kolkman,2350
Koning,10735
de Koning,10620
Konings,5458
van der Kooi,1942
Kooij,4722
van der Kooij,2818
Kooijman,5115
Kooiman,2146
Kooistra,5574
Kool,5055
Koole,2150
Koolen,3543
Koomen,2013
Koopman,8347
Koopmans,5463
Koops,4578
Koot,3730
van Kooten,3475
Kort,2137
de Kort,3631
de Korte,2015
Kortekaas,2169
Koster,15346
Kouwenhoven,2228
Kraan,2479
Kramer,13188
Kranenburg,2175
Kremer,3537
Krijgsman,3211
Krijnen,2871
Kroes,4226
Kroeze,3006
Krol,3081
Kroon,9333
de Kruijf,2177
Kruithof,2358
van Kuijk,2343
Kuijper,3399
Kuijpers,9906
Kuijt,2186
Kuiper,13491
Kuipers,13987
Kunst,1946
Kusters,3731
Laan,3094
van der Laan,10669
van Laar,4110
van de Laar,4313
van Laarhoven,2839
de Laat,4415
Lam,2870
Lamers,5098
Lammers,6977
Landman,2730
de Lange,10932
Langenberg,1993
Langeveld,2216
van der Lee,4064
Leenders,4958
de Leeuw,9814
van Leeuwen,27819
Leijten,2244
Lemmens,4531
van Lent,2375
van Lier,2477
van Lierop,3211
van Lieshout,6199
Ligthart,2517
van der Linde,4757
van der Linden,20132
Linders,3422
Linssen,2650
van Lith,2513
Lodder,2420
van Loenen,2343
van Loo,2280
van Loon,11320
Loos,2217
Los,1944
Lubbers,4296
Lucas,2395
Lucassen,2229
Luijten,2764
van Maanen,3121
Maas,15620
Maassen,2752
Maat,2718
Maessen,2256
de Man,3676
Manders,4768
van Manen,2221
van der Mark,2145
Marsman,1960
Martens,12235
Martina,2544
van Meel,1991
van der Meer,20591
Meester,2513
Megens,2171
van der Meij,4236
van der Meijden,3761
Meijer,38472
Meijerink,3516
Meijers,4865
Mensink,3374
Mertens,3462
van der Meulen,9978
Meurs,2190
van Meurs,2159
Middelkoop,2157
Miedema,3400
van Mierlo,3680
van Mil,2049
Moerman,2136
Moes,3413
Mol,9916
van der Molen,5326
Molenaar,9914
Mooij,2827
de Mooij,2077
Moonen,4027
Mostert,2108
van Mourik,4532
Mulder,36207
Mulders,4663
Muller,7590
Müller,1993
Nagel,2103
Nagtegaal,2274
Nap,2012
Nauta,2802
Nelissen,2739
Nguyen,4162
Niemeijer,2299
Nieuwenhuis,5300
Nieuwenhuizen,2661
Nijboer,3357
Nijenhuis,5111
Nijhof,3761
Nijhuis,4688
Nijkamp,2957
Nijland,5052
Nijman,3140
Nijmeijer,2488
de Nijs,2787
Nijssen,3104
van Noort,2901
Nuijten,1968
Oerlemans,2588
van Oers,2614
van den Oever,3035
Olthof,2344
van Ommen,2699
van Ommeren,2095
van Ooijen,3065
Oomen,4247
Ooms,3206
van Oorschot,3217
van Oort,2825
Oost,2346
van Oosten,3857
Oosterhof,2340
van Oosterhout,3048
Oosterhuis,2040
Oosting,2727
van Os,6886
van Osch,2338
Oskam,2554
Otten,7778
Ottens,2207
den Otter,2182
Otto,2226
Oud,1953
den Ouden,4562
Oudshoorn,3103
Ouwehand,2471
Ouwerkerk,2122
Overbeek,2150
Özdemir,2091
Öztürk,2437
Pater,3130
Peek,2143
Peeters,14054
van Pelt,3930
Pennings,3607
Peters,30106
Petersen,2075
Pieters,5473
Pieterse,2695
Pijnenburg,2913
Pijpers,2100
van der Plas,6087
Ploeg,2271
van der Ploeg,5885
Plomp,2096
van der Pluijm,2020
van der Poel,4113
Pol,4659
van de Pol,5629
van der Pol,3997
Polman,3367
Pols,2430
Pool,2621
Poot,2658
Post,13622
Postema,2069
Posthumus,2419
Postma,12395
Pot,3789
Pouw,2225
Prins,14894
Prinsen,2779
Pronk,8419
van Putten,4658
van der Putten,2898
Raaijmakers,4025
Rademaker,2995
Ramakers,2053
Ras,2639
de Regt,1950
Reijnders,3439
Reijnen,2379
Reinders,4972
Reitsma,3487
Rensen,2003
de Reus,2209
Reuvers,2116
de Ridder,5454
van Riel,3048
Rietveld,5743
de Rijk,2661
Rijkers,2008
van Rijn,8567
Rijsdijk,2054
van Rijswijk,3848
Robben,2214
Rodenburg,2452
Roelofs,6985
Roelofsen,2570
Roest,3788
Rombouts,2011
Romijn,3049
de Roo,2851
de Rooij,8894
van Rooij,7212
van Rooijen,6030
Rook,2103
van Roon,2087
Roos,8599
de Roos,2861
Roovers,2335
Ros,3499
van Rossum,5991
Rovers,2820
Rozema,2694
de Ruijter,5798
Ruiter,4915
de Ruiter,12003
Rutgers,2447
Rutten,7459
Şahin,2327
van de Sande,3487
van der Sanden,2049
Sanders,9912
van Santen,3396
van der Schaaf,2155
Schaap,8648
van Schaik,7653
Scheepers,2895
Scheffer,4061
Scheffers,2070
Schellekens,3971
Schenk,3695
Schepers,5439
van Schie,3422
van Schijndel,4056
Schilder,3555
Schimmel,2352
Schipper,10784
Schippers,4845
Schmidt,3472
Schmitz,3223
Schneider,1965
Schoemaker,2489
Schoenmaker,2221
Schoenmakers,4414
Scholte,3572
Scholten,12764
Scholtens,2517
Schonewille,2681
Schot,2795
Schouten,17147
Schreuder,4408
Schreurs,5101
Schrijver,3189
Schröder,1966
Schut,5563
Schutte,4791
Schuurman,6790
Schuurmans,3387
Segers,2357
Sijtsma,1947
Simons,7812
Singh,2250
Slagter,2643
Slingerland,2570
van Slooten,1936
Slot,3547
van der Sluijs,2654
van der Sluis,5154
Smeets,11145
Smid,3630
Smink,2095
Smit,42275
Smith,3644
Smits,23205
Smolders,2178
Smulders,5411
Snel,3837
Snijder,3856
Snijders,8116
Snippe,2154
Snoek,3656
van Soest,3761
Somers,1996
van Son,2590
Spaan,2504
Spaans,3322
Spee,1940
van der Spek,3233
Spierings,2583
Spijker,2710
Spoelstra,2133
Spruijt,2159
Spruit,2057
Staal,3829
Stam,9402
van der Steen,5936
Steenbergen,4675
Stegeman,3357
van der Stelt,2118
Sterk,2681
Stevens,7833
Stolk,5352
Stoop,3686
Storm,2379
van Straten,2378
van Strien,2184
Strijker,2013
Strik,2310
Struijk,1967
Struik,2150
Swart,4279
Swinkels,4866
Tan,2205
Tang,1970
Teeuwen,2303
Terlouw,2098
Terpstra,5801
Teunissen,7026
Theunissen,4850
Thijssen,6779
Thomas,2293
Thomassen,2573
Tijssen,2798
van Tilburg,3676
Timmer,9034
Timmerman,6406
Timmermans,11658
Timmers,4288
Tol,3769
van Tol,3833
van Tongeren,2773
Toonen,2252
Top,2052
Tromp,5577
Troost,3630
van Uden,3413
van der Vaart,1953
Vaessen,2612
Valk,4380
van der Valk,3368
Valkenburg,2094
Veen,3594
van Veen,13705
van der Veen,18366
Veenendaal,2155
Veenstra,13073
van der Veer,5137
Veerman,4470
van der Vegt,3198
in 't Veld,2047
van de Velde,3268
van der Velde,8015
van der Velden,10189
Veldhuis,4936
Veldhuizen,3903
van Veldhuizen,2090
Veldkamp,3029
Veldman,5414
Velthuis,2009
Veltman,3189
van Velzen,5198
van de Ven,11647
van der Ven,4176
Venema,6806
Verbeek,9463
Verberne,2522
Verboom,2667
Verbruggen,2743
Verburg,3199
Verdonk,2126
Verduijn,1968
Verhaar,1981
Verhagen,8223
Verheij,4378
Verheijen,5079
Verheul,3218
Verhoef,6784
Verhoeff,2026
Verhoeven,15525
Verhulst,2059
Verkerk,3960
Vermeer,7154
Vermeij,2135
Vermeulen,20110
Verschoor,4786
Verschuren,3039
Versluis,4478
Verstappen,3167
