DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/10/2017,10:15,BRONX,10466,40.887302,-73.847275,"(40.887302, -73.847275)",,,4111      LACONIA AVENUE                ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3708510,SPORT UTILITY / STATION WAGON,,,,
07/10/2017,10:15,,,40.7786,-73.84885,"(40.7786, -73.84885)",119 STREET                      ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3709343,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,10:15,,,40.66804,-73.86055,"(40.66804, -73.86055)",DREW STREET                     ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3708836,SPORT UTILITY / STATION WAGON,,,,
07/10/2017,10:15,,,40.70052,-74.01551,"(40.70052, -74.01551)",,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3709416,PASSENGER VEHICLE,PICK-UP TRUCK,,,
07/10/2017,10:15,MANHATTAN,10128,40.778484,-73.94526,"(40.778484, -73.94526)",YORK AVENUE                     ,EAST 90 STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3708652,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/10/2017,10:20,QUEENS,11369,40.758095,-73.87635,"(40.758095, -73.87635)",,,32-19     92 STREET                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3708345,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/10/2017,10:24,STATEN ISLAND,10306,40.557854,-74.12671,"(40.557854, -74.12671)",HYLAN BOULEVARD                 ,CHESTERTON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3708868,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/10/2017,10:26,,,40.696175,-73.98036,"(40.696175, -73.98036)",TILLARY STREET                  ,NAVY STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3708363,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
07/10/2017,10:27,MANHATTAN,10065,40.76786,-73.96408,"(40.76786, -73.96408)",LEXINGTON AVENUE                ,EAST 68 STREET,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3708659,SPORT UTILITY / STATION WAGON,,,,
07/10/2017,10:28,,,40.755234,-73.941246,"(40.755234, -73.941246)",21 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3708115,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/10/2017,10:29,,,40.850304,-73.85137,"(40.850304, -73.85137)",MORRIS PARK AVENUE              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,3708779,PASSENGER VEHICLE,PICK-UP TRUCK,,,
07/10/2017,10:30,BRONX,10458,40.87678,-73.883835,"(40.87678, -73.883835)",EAST MOSHOLU PARKWAY SOUTH      ,VANCORTLANDT AVENUE EAST,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3709028,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,10:30,BROOKLYN,11249,40.7133,-73.96742,"(40.7133, -73.96742)",SOUTH 4 STREET                  ,KENT AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3708496,PASSENGER VEHICLE,,,,
07/10/2017,10:30,MANHATTAN,10005,40.70694,-74.00901,"(40.70694, -74.00901)",PINE STREET                     ,WILLIAM STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3708140,,,,,
07/10/2017,10:30,QUEENS,11423,40.718838,-73.76591,"(40.718838, -73.76591)",,,197-10    FOOTHILL AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3708458,PASSENGER VEHICLE,,,,
07/10/2017,10:30,QUEENS,11692,40.590446,-73.801186,"(40.590446, -73.801186)",BEACH 73 STREET                 ,ROCKAWAY FREEWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3708365,PASSENGER VEHICLE,PICK-UP TRUCK,,,
07/10/2017,10:30,,,40.77677,-73.93453,"(40.77677, -73.93453)",26 AVENUE                       ,,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3708111,PASSENGER VEHICLE,,,,
07/10/2017,10:30,,,40.75537,-73.98746,"(40.75537, -73.98746)",WEST 41 STREET                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,3708998,TAXI,SPORT UTILITY / STATION WAGON,,,
07/10/2017,10:34,,,40.695015,-73.98876,"(40.695015, -73.98876)",ADAMS STREET                    ,,,0,0,0,0,0,0,0,0,Oversized Vehicle,Backing Unsafely,,,,3708374,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/10/2017,10:35,BROOKLYN,11218,40.634354,-73.97891,"(40.634354, -73.97891)",DAHILL ROAD                     ,41 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3708912,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,10:37,,,40.84599,-73.84789,"(40.84599, -73.84789)",SACKET AVENUE                   ,,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,3708780,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/10/2017,10:40,,,40.730366,-73.809006,"(40.730366, -73.809006)",71 AVENUE                       ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3708362,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/10/2017,10:45,MANHATTAN,10035,40.805637,-73.9344,"(40.805637, -73.9344)",EAST 128 STREET                 ,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3709692,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/10/2017,10:45,,,40.802757,-73.93026,"(40.802757, -73.93026)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3708543,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,10:50,BRONX,10456,40.83639,-73.91588,"(40.83639, -73.91588)",EAST 169 STREET                 ,GRAND CONCOURSE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3708936,PASSENGER VEHICLE,,,,
07/10/2017,10:50,,,40.736496,-73.909225,"(40.736496, -73.909225)",58 STREET                       ,LAUREL HILL BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3708566,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/10/2017,10:50,,,,,,,,59        WEST DRIVE                    ,2,0,1,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3708979,BICYCLE,,,,
07/10/2017,10:51,,,40.66899,-73.99641,"(40.66899, -73.99641)",15 STREET                       ,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,Unspecified,,,3708384,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
07/10/2017,10:53,BRONX,10474,40.80993,-73.888016,"(40.80993, -73.888016)",,,1240      OAK POINT AVENUE              ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3708417,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/10/2017,10:55,BRONX,10467,40.879635,-73.865326,"(40.879635, -73.865326)",,,3617      WHITE PLAINS ROAD             ,1,0,0,0,0,0,1,0,Reaction to Other Uninvolved Vehicle,,,,,3708509,PASSENGER VEHICLE,,,,
07/10/2017,11:00,BRONX,10458,40.86329,-73.88981,"(40.86329, -73.88981)",,,389       EAST 194 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3708736,SPORT UTILITY / STATION WAGON,,,,
