DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/20/2017,10:00,BRONX,10463,40.8843,-73.90332,"(40.8843, -73.90332)",CORLEAR AVENUE                  ,WEST 236 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3695493,PICK-UP TRUCK,PASSENGER VEHICLE,,,
06/20/2017,10:00,BROOKLYN,11212,40.66367,-73.91213,"(40.66367, -73.91213)",DUMONT AVENUE                   ,BOYLAND STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3695256,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,10:00,MANHATTAN,10016,40.74864,-73.97725,"(40.74864, -73.97725)",,,160       EAST 38 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3694446,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/18/2017,22:00,,,,,,,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3694188,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,10:00,QUEENS,11378,40.730972,-73.92204,"(40.730972, -73.92204)",54 ROAD                         ,46 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3694969,PASSENGER VEHICLE,,,,
06/20/2017,10:00,,,40.744526,-73.77161,"(40.744526, -73.77161)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3695214,,,,,
06/20/2017,10:00,,,40.823135,-73.88225,"(40.823135, -73.88225)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3695398,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/20/2017,10:08,,,40.744644,-73.77041,"(40.744644, -73.77041)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3695544,PASSENGER VEHICLE,,,,
06/20/2017,10:10,BRONX,10463,40.880817,-73.90841,"(40.880817, -73.90841)",TIBBETT AVENUE                  ,WEST 231 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3695505,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/20/2017,10:10,MANHATTAN,10022,40.759163,-73.97675,"(40.759163, -73.97675)",WEST 51 STREET                  ,5 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3695219,BICYCLE,PASSENGER VEHICLE,,,
