yr,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
K59 Station Zuid/WTC e.o.,19,14,23,23,15,23,14,10,11,13,17,13,11,11,10,5,13,10,14,8
K90 Buitenveldert-West,211,242,232,263,257,238,220,270,233,219,180,170,184,150,182,185,155,167,150,176
K91 Buitenveldert-Oost,204,206,198,205,199,193,207,182,167,241,236,229,213,188,203,187,182,226,200,224
M27 Weesperzijde,20,24,20,23,26,17,24,17,11,17,14,13,22,12,12,13,15,19,18,17
M28 Oosterparkbuurt,71,67,70,55,60,85,65,49,71,70,58,50,63,49,41,51,50,60,37,52
M29 Dapperbuurt,70,82,79,72,73,57,68,100,58,79,75,69,69,77,62,63,43,72,58,56
M30 Transvaalbuurt,51,44,54,43,42,48,49,50,38,40,34,49,36,30,33,45,35,43,43,52
M31 Indische Buurt West,81,70,61,64,81,69,67,68,61,56,43,50,73,48,39,37,53,49,51,37
M32 Indische Buurt Oost,67,72,102,106,119,98,110,106,110,113,105,91,94,94,117,73,84,84,90,102
M33 Oostelijk Havengebied,49,45,16,23,21,28,39,33,32,40,36,48,37,45,38,40,44,37,46,54
M34 Zeeburgereiland/Nieuwe Diep,3,-,1,-,-,1,1,-,5,4,5,-,1,-,2,0,1,1,-,1
M35 IJburg West,,,,,,-,-,-,1,1,10,12,21,6,20,21,26,22,23,18
M51 IJburg Zuid,,,,,,,,,,,,,5,4,10,8,14,14,15,8
M55 Frankendael,181,150,144,148,154,165,149,134,129,142,130,118,110,118,121,101,129,106,118,106
M56 Middenmeer,91,90,86,66,70,76,87,74,79,82,68,66,67,64,53,59,70,73,52,61
M57 Betondorp,58,60,55,49,58,49,51,52,44,52,38,36,51,46,41,45,47,44,35,28
M58 De Omval,5,3,3,1,2,2,2,4,5,6,3,4,6,4,6,-,3,6,5,7
N60 Volewijck,119,113,103,91,105,116,102,113,92,83,69,87,78,62,57,78,71,75,73,67
N61 IJplein/Vogelbuurt,60,72,47,61,58,57,58,46,39,49,41,44,51,44,45,48,49,45,49,48
N62 Tuindorp Nieuwendam,49,56,45,32,44,45,59,47,41,55,33,37,36,39,33,37,56,38,37,40
N63 Tuindorp Buiksloot,22,27,23,32,33,27,23,22,23,22,13,21,30,27,28,22,26,18,20,33
N64 Nieuwendammerdijk/Buiksloterdijk,11,12,13,9,7,9,7,10,2,8,7,5,5,6,8,8,11,5,8,9
N65 Tuindorp Oostzaan,118,128,121,117,129,116,123,127,114,92,105,125,110,109,124,125,113,114,99,100
N66 Oostzanerwerf,66,47,51,45,40,62,67,61,53,59,49,46,44,62,56,64,62,54,51,63
N67 Kadoelen,24,14,23,21,13,18,16,22,16,18,19,16,14,22,16,16,20,17,20,16
N68 Nieuwendam-Noord,135,107,130,111,102,117,97,98,107,102,79,91,88,93,88,79,102,80,96,83
N69 Buikslotermeer,208,182,174,206,219,188,224,221,197,193,211,214,232,219,196,199,182,189,160,175
N70 Banne Buiksloot,179,161,181,190,173,162,182,173,178,158,162,131,143,127,124,120,119,143,135,139
N71 Buiksloterham,3,3,-,4,3,2,2,1,1,-,4,4,1,2,1,1,1,7,2,4
N72 Nieuwendammerham,-,-,-,-,1,-,1,-,1,-,1,-,-,2,1,-,-,1,1,1
N73 Waterland,15,9,18,13,12,12,18,9,12,9,15,11,8,19,11,18,12,8,15,13
T92 Amstel III/Bullewijk,-,-,-,1,1,1,1,-,-,-,-,-,-,-,1,-,-,1,1,-
"T93 Bijlmer Centrum (D,F,H)",117,97,93,110,91,126,117,99,85,104,105,96,101,110,103,106,120,103,89,104
"T94 Bijlmer Oost (E,G,K)",203,195,154,151,194,189,176,183,160,159,147,127,162,150,177,141,167,182,148,174
T95 Nellestein,41,54,40,58,58,41,42,46,33,43,37,36,41,52,56,37,44,48,34,38
T96 Holendrecht/Reigersbos,157,186,182,134,165,165,128,182,158,141,169,141,150,144,123,132,125,122,140,118
T97 Gein,63,60,70,59,82,73,76,84,67,55,76,75,82,85,78,84,87,83,86,71
T98 Driemond,5,6,9,13,9,8,8,5,9,7,12,9,11,9,9,9,10,6,10,6
